artist,click,pageview,preview,total_events,click_rate
JoeBoy,2,3,0,5,66.66666666666666
Foolio,2,3,0,5,66.66666666666666
Yung Baby Tate,2,3,0,5,66.66666666666666
Alikiba,2,3,0,5,66.66666666666666
"Jackboy, Russ",1,4,0,5,25.0
MICHELLE,1,3,1,5,33.33333333333333
Rick and Morty,2,3,0,5,66.66666666666666
Lana Del Rey,1,4,0,5,25.0
Fetty Wap,0,5,0,5,0.0
Cigarettes After Sex,2,3,0,5,66.66666666666666
Nelly,1,4,0,5,25.0
love shayla,2,3,0,5,66.66666666666666
Ulices Chaidez,2,3,0,5,66.66666666666666
Anitta,1,3,1,5,33.33333333333333
Amr Mostafa,1,4,0,5,25.0
jxdn,1,4,0,5,25.0
"Amorphous, Kehlani",1,3,1,5,33.33333333333333
"Anthony Ramos, Leslie Grace, Marc Anthony",1,3,1,5,33.33333333333333
Masicka,2,3,0,5,66.66666666666666
Farizki,2,3,0,5,66.66666666666666
Father John Misty,2,2,1,5,100.0
"Only The Family, Lil Durk",2,3,0,5,66.66666666666666
Ashe,1,3,1,5,33.33333333333333
Hamada Nashawaty,1,4,0,5,25.0
Rooga,0,5,0,5,0.0
YSN Marrr,2,3,0,5,66.66666666666666
"Juicy J, Pooh Shiesty",2,3,0,5,66.66666666666666
Emotional Oranges,2,2,1,5,100.0
Kshordy,1,4,0,5,25.0
Nancy Ajram,1,4,0,5,25.0
Aly & AJ,2,2,1,5,100.0
blackbear,2,3,0,5,66.66666666666666
La Santa Grifa,2,3,0,5,66.66666666666666
Ian Ewing,2,3,0,5,66.66666666666666
Wiz Khalifa,2,3,0,5,66.66666666666666
Bo Bundy,2,3,0,5,66.66666666666666
Shabaz Zamani,2,3,0,5,66.66666666666666
Layton Greene,2,3,0,5,66.66666666666666
Yung Mal,2,3,0,5,66.66666666666666
Xenic,2,3,0,5,66.66666666666666
Adekunle Gold,1,4,0,5,25.0
Big Scarr,2,3,0,5,66.66666666666666
Marshmello,2,3,0,5,66.66666666666666
"Rain Radio, DJ Craig Gorman",0,4,1,5,0.0
Plies,2,3,0,5,66.66666666666666
Dean Martin,2,3,0,5,66.66666666666666
OCTAVIO the Dweeb,1,4,0,5,25.0
Key Glock,2,3,0,5,66.66666666666666
Suldaan Seeraar,2,3,0,5,66.66666666666666
ARZ,2,3,0,5,66.66666666666666
Lil Moe 6Blocka,2,3,0,5,66.66666666666666
TV Girl,2,3,0,5,66.66666666666666
Luar La L,1,4,0,5,25.0
George Strait,2,3,0,5,66.66666666666666
Deftones,2,3,0,5,66.66666666666666
Milkz,1,3,1,5,33.33333333333333
DeeBaby,2,3,0,5,66.66666666666666
Samantha Harvey,2,3,0,5,66.66666666666666
YN Jay,1,4,0,5,25.0
Jason Derulo,1,3,1,5,33.33333333333333
"6VIB3Z, lilcheatcod",2,3,0,5,66.66666666666666
Kaur B,2,3,0,5,66.66666666666666
"YNW Melly, YNW Gunna, Hotboii",2,3,0,5,66.66666666666666
Wolf,2,3,0,5,66.66666666666666
Kim McCoy,2,3,0,5,66.66666666666666
Dua Lipa,2,3,0,5,66.66666666666666
Yung Caza,2,3,0,5,66.66666666666666
Sofía Valdés,2,3,0,5,66.66666666666666
Chase Atlantic,1,4,0,5,25.0
Toby Keith,2,3,0,5,66.66666666666666
LilCJ Kasino,2,2,0,4,100.0
بدر العزي,1,3,0,4,33.33333333333333
Maze,2,2,0,4,100.0
باسم الكربلائي,1,3,0,4,33.33333333333333
Ghosu,1,3,0,4,33.33333333333333
Serena Isioma,0,4,0,4,0.0
808Bambam,2,2,0,4,100.0
Maxamed Bk,1,3,0,4,33.33333333333333
Grupo Marca Registrada,2,2,0,4,100.0
Lil Skies,0,4,0,4,0.0
Lil Tjay ft Tj Porter,2,2,0,4,100.0
Hiatus Kaiyote,2,2,0,4,100.0
Li Heat,2,2,0,4,100.0
Alan Hernandez Oficial,2,2,0,4,100.0
Fana Hues,2,2,0,4,100.0
757 BA,1,3,0,4,33.33333333333333
Selena Gomez & The Scene,2,2,0,4,100.0
Haval Ibrahim,2,2,0,4,100.0
Falling In Reverse,2,2,0,4,100.0
Guapo,1,3,0,4,33.33333333333333
Faith Hill,1,3,0,4,33.33333333333333
WILLOW,1,3,0,4,33.33333333333333
"Twista, CeeLo Green",1,2,1,4,50.0
mrs.tissue,1,3,0,4,33.33333333333333
Lil Playah,2,2,0,4,100.0
Hollywood Undead,2,2,0,4,100.0
Lauren Daigle,2,2,0,4,100.0
Thomas Rhett,1,3,0,4,33.33333333333333
Sub Urban,1,2,1,4,50.0
Miguel,1,3,0,4,33.33333333333333
Syko,1,3,0,4,33.33333333333333
Flowerpot Press,1,3,0,4,33.33333333333333
Hopsin,2,2,0,4,100.0
Selena Gomez,1,3,0,4,33.33333333333333
6LACK,2,2,0,4,100.0
SEBASTIAN PAUL,1,3,0,4,33.33333333333333
Mike Jones,1,3,0,4,33.33333333333333
26ar,2,2,0,4,100.0
Hephae Ocho,2,2,0,4,100.0
Vybz Kartel,1,3,0,4,33.33333333333333
4TF,1,3,0,4,33.33333333333333
1 King,1,3,0,4,33.33333333333333
Alexandre Pachabezian,2,2,0,4,100.0
SSG Splurge,2,2,0,4,100.0
FearlezzBeats,2,2,0,4,100.0
Frank Sinatra,0,4,0,4,0.0
Mc Davi,2,2,0,4,100.0
Abdul Kader Akkari,1,3,0,4,33.33333333333333
2Two Chaud,2,2,0,4,100.0
Aaron May,2,2,0,4,100.0
Sura İskenderli,1,3,0,4,33.33333333333333
Styles P,2,2,0,4,100.0
BENEE,2,2,0,4,100.0
Lil Jairmy,2,2,0,4,100.0
DJ Maphorisa,2,2,0,4,100.0
XXXTentacion,1,3,0,4,33.33333333333333
Pia Mia,2,2,0,4,100.0
Doobie,2,2,0,4,100.0
Double-007,2,2,0,4,100.0
James Lover,2,2,0,4,100.0
POPCAAN,2,2,0,4,100.0
Splack Pack,1,3,0,4,33.33333333333333
"bbno$, Yung Gravy",1,2,1,4,50.0
Bankrol Hayden,2,2,0,4,100.0
